id,quantity,directions,ingredient_name_id,recipe_name_id
1,3 tablespoons,,soy sauce,Asian Beef with Snow Peas
2,2 tablespoons,,rice wine,Asian Beef with Snow Peas
3,1 tablespoon,,brown sugar,Asian Beef with Snow Peas
4,1/2 teaspoon,,cornstarch,Asian Beef with Snow Peas
5,1 tablespoon,,vegetable oil,Asian Beef with Snow Peas
6,1 tablespoon,minced fresh,ginger,Asian Beef with Snow Peas
7,1 tablespoon,minced,garlic,Asian Beef with Snow Peas
8,1 pound,round,beef steak,Asian Beef with Snow Peas
9,8 ounces,,snow peas,Asian Beef with Snow Peas
10,1/2 cup,,soy sauce,Asian Fire Meat
11,1 tablespoon,,sesame oil,Asian Fire Meat
12,2 tablespoons,,brown sugar,Asian Fire Meat
13,3 cloves,crushed,garlic,Asian Fire Meat
14,1 large,chopped,red onion,Asian Fire Meat
15,to taste,ground,peppercorn,Asian Fire Meat
16,1 teaspoon,,red pepper flake,Asian Fire Meat
17,2 tablespoons,,sesame seed,Asian Fire Meat
18,2,chopped,leek,Asian Fire Meat
19,1 small,chopped,carrot,Asian Fire Meat
20,1 pound,round,beef steak,Asian Fire Meat
21,1 pound,lean,ground beef,Beef Egg Rolls
22,1,,onion flake,Beef Egg Rolls
23,1/2 teaspoon,dried minced,garlic,Beef Egg Rolls
24,2 tablespoons,,soy sauce,Beef Egg Rolls
25,1/2 teaspoon,,salt,Beef Egg Rolls
26,1/2 teaspoon,ground,peppercorn,Beef Egg Rolls
27,2 tablespoons,,sherry,Beef Egg Rolls
28,1 teaspoon,,ground ginger,Beef Egg Rolls
29,1,large headed,cabbage,Beef Egg Rolls
30,1/4 cup,,water,Beef Egg Rolls
31,1 tablespoon,,vegetable oil,Beef Egg Rolls
32,1 teaspoon,,sugar,Beef Egg Rolls
33,2 tablespoons,,soy sauce,Beef Egg Rolls
34,2 tablespoons,,sherry,Beef Egg Rolls
35,1/2 teaspoon,,salt,Beef Egg Rolls
36,1/2 teaspoon,ground,peppercorn,Beef Egg Rolls
37,2 quarts,,vegetable oil,Beef Egg Rolls
38,1 (16 ounce) package,to make egg roll wrappers,egg,Beef Egg Rolls
39,1 (8 ounce) package,,spaghetti,Beef Lo Mein
40,1 teaspoon,dark,sesame oil,Beef Lo Mein
41,1 tablespoon,,peanut oil,Beef Lo Mein
42,4 cloves,minced,garlic,Beef Lo Mein
43,1 tablespoon,minced fresh,ginger,Beef Lo Mein
44,4 cups,,mixed vegetable,Beef Lo Mein
45,1 pound,flank,beef steak,Beef Lo Mein
46,3 tablespoons,reduced sodium,soy sauce,Beef Lo Mein
47,2 tablespoons,,brown sugar,Beef Lo Mein
48,1 tablespoon,,oyster sauce,Beef Lo Mein
49,1 tablespoon,asian,chili paste,Beef Lo Mein
50,1 tablespoon,paste,garlic,Beef Lo Mein
51,1 1/2 pounds,,ground beef,Beefy Chinese Dumplings
52,2 cups,shredded,cabbage,Beefy Chinese Dumplings
53,1,shredded,carrot,Beefy Chinese Dumplings
54,1,minced,onion,Beefy Chinese Dumplings
55,1,,egg,Beefy Chinese Dumplings
56,1 teaspoon,,sugar,Beefy Chinese Dumplings
57,1 teaspoon,,salt,Beefy Chinese Dumplings
58,1 tablespoon,,soy sauce,Beefy Chinese Dumplings
59,1 tablespoon,,vegetable oil,Beefy Chinese Dumplings
60,1 (14 ounce) package,,wonton wrapper,Beefy Chinese Dumplings
61,2 tablespoons,,vegetable oil,Black Pepper Beef and Cabbage Stir Fry
62,4 cloves,chopped,garlic,Black Pepper Beef and Cabbage Stir Fry
63,1/2 pound,,ground beef,Black Pepper Beef and Cabbage Stir Fry
64,1/2,small head,cabbage,Black Pepper Beef and Cabbage Stir Fry
65,1,red,bell pepper,Black Pepper Beef and Cabbage Stir Fry
66,2 tablespoons,,soy sauce,Black Pepper Beef and Cabbage Stir Fry
67,1 teaspoon,,cornstarch,Black Pepper Beef and Cabbage Stir Fry
68,1/2 cup,cold,water,Black Pepper Beef and Cabbage Stir Fry
69,1 teaspoon or to taste,ground,peppercorn,Black Pepper Beef and Cabbage Stir Fry
70,to taste,,salt,Black Pepper Beef and Cabbage Stir Fry
71,8 cubes,,chicken broth,Chi Tan T'ang (Egg Drop Soup)
72,6 cups,hot,water,Chi Tan T'ang (Egg Drop Soup)
73,2 tablespoons,,cornstarch,Chi Tan T'ang (Egg Drop Soup)
74,2 tablespoons,,soy sauce,Chi Tan T'ang (Egg Drop Soup)
75,3 tablespoons,distilled,vinegar,Chi Tan T'ang (Egg Drop Soup)
76,1,minced,scallion,Chi Tan T'ang (Egg Drop Soup)
77,3,beaten,egg,Chi Tan T'ang (Egg Drop Soup)
78,3 tablespoons,red,wine vinegar,Chinese Cabbage Salad II
79,2 tablespoons,,sugar,Chinese Cabbage Salad II
80,1/2 teaspoon,,salt,Chinese Cabbage Salad II
81,1/4 teaspoon,ground,peppercorn,Chinese Cabbage Salad II
82,1 (3 ounce) package,ramen,noodle,Chinese Cabbage Salad II
83,1/2 cup,,vegetable oil,Chinese Cabbage Salad II
84,1 (16 ounce) package,mixed with coleslaw,broccoli,Chinese Cabbage Salad II
85,1/2 cup,chopped,scallion,Chinese Cabbage Salad II
86,4 ounces,toasted,almond,Chinese Cabbage Salad II
87,1/4 cup,toasted,sesame seed,Chinese Cabbage Salad II
88,2 (3 ounce) packages,ramen,noodle,Chinese Fried Noodles
89,3,beaten,egg,Chinese Fried Noodles
90,1 tablespoon,,vegetable oil,Chinese Fried Noodles
91,4,thinly sliced,scallion,Chinese Fried Noodles
92,1,small,carrot,Chinese Fried Noodles
93,1/2 cup,,peas,Chinese Fried Noodles
94,1/4 cup,red,bell pepper,Chinese Fried Noodles
95,2 tablespoons,,sesame oil,Chinese Fried Noodles
96,2 tablespoons,,soy sauce,Chinese Fried Noodles
97,1 cup,,vegetable oil,Chinese Green Bean Stir-Fry
98,13 pounds,fresh,green beans,Chinese Green Bean Stir-Fry
99,5 tablespoons,minced,garlic,Chinese Green Bean Stir-Fry
100,5 tablespoons,minced fresh,ginger,Chinese Green Bean Stir-Fry
101,2 tablespoons,preferably kosher salt,salt,Chinese Green Bean Stir-Fry
102,1 tablespoon,coarsely ground,peppercorn,Chinese Green Bean Stir-Fry
103,2 (8 ounce) bottles,sauced,black beans,Chinese Green Bean Stir-Fry
104,1 pound,steaked,beef sirloin,Chinese Pepper Steak
105,1/4 cup,,soy sauce,Chinese Pepper Steak
106,2 tablespoons,,sugar,Chinese Pepper Steak
107,2 tablespoons,,cornstarch,Chinese Pepper Steak
108,1/2 teaspoon,,ground ginger,Chinese Pepper Steak
109,3 tablespoons,divided,vegetable oil,Chinese Pepper Steak
110,1,cut into 1,red onion,Chinese Pepper Steak
111,1,green,bell pepper,Chinese Pepper Steak
112,2,cut into wedges,tomato,Chinese Pepper Steak
113,1 tablespoon,active,yeast,Chinese Steamed Buns
114,1 teaspoon,,sugar,Chinese Steamed Buns
115,1/4 cup,,all purpose flour,Chinese Steamed Buns
116,1/4 cup,,water,Chinese Steamed Buns
117,1/2 cup,warm,water,Chinese Steamed Buns
118,1/2 cup,,all purpose flour,Chinese Steamed Buns
119,1/4 teaspoon,,salt,Chinese Steamed Buns
120,2 tablespoons,,sugar,Chinese Steamed Buns
121,1 tablespoon,,vegetable oil,Chinese Steamed Buns
122,1/2 teaspoon,,baking powder,Chinese Steamed Buns
123,1 cup,,sugar,Chinese Style Sesame Sauce
124,1/4 cup,,cornstarch,Chinese Style Sesame Sauce
125,1 cup,,chicken broth,Chinese Style Sesame Sauce
126,1/2 cup,,water,Chinese Style Sesame Sauce
127,1/8 cup,white,vinegar,Chinese Style Sesame Sauce
128,2 tablespoons,dark,soy sauce,Chinese Style Sesame Sauce
129,2 tablespoons,,sesame oil,Chinese Style Sesame Sauce
130,1 teaspoon,,chili paste,Chinese Style Sesame Sauce
131,1 clove,minced,garlic,Chinese Style Sesame Sauce
132,2 tablespoons,,oyster sauce,Chinese-Style Baby Bok Choy with Mushroom Sauce
133,1 tablespoon,,soy sauce,Chinese-Style Baby Bok Choy with Mushroom Sauce
134,2 teaspoons,,brown sugar,Chinese-Style Baby Bok Choy with Mushroom Sauce
135,1 teaspoon,,potato starch,Chinese-Style Baby Bok Choy with Mushroom Sauce
136,1 tablespoon,,water,Chinese-Style Baby Bok Choy with Mushroom Sauce
137,2 pinches,,salt,Chinese-Style Baby Bok Choy with Mushroom Sauce
138,1/4 teaspoon,,vegetable oil,Chinese-Style Baby Bok Choy with Mushroom Sauce
139,4 heads,with small leaves,bok choy,Chinese-Style Baby Bok Choy with Mushroom Sauce
140,3 tablespoons,,olive oil,Chinese-Style Baby Bok Choy with Mushroom Sauce
141,2 tablespoons,minced,scallion,Chinese-Style Baby Bok Choy with Mushroom Sauce
142,1 tablespoon,minced,garlic,Chinese-Style Baby Bok Choy with Mushroom Sauce
143,1 (8 ounce) package,sliced,portobello mushroom,Chinese-Style Baby Bok Choy with Mushroom Sauce
144,1 (14 ounce) package,small,wonton wrapper,Crab Rangoon I
145,2 (8 ounce) packages,softened,cream cheese,Crab Rangoon I
146,1 teaspoon,mince fresh,ginger,Crab Rangoon I
147,1/2 teaspoon,chopped,cilantro,Crab Rangoon I
148,2 teaspoon,dried,parsley,Crab Rangoon I
149,3 tablespoons,dark,soy sauce,Crab Rangoon I
150,1 pound,shredded meat,crab,Crab Rangoon I
151,1 quart,for frying,canola oil,Crab Rangoon I
152,3/4 cup,,cornstarch,Crispy Ginger Beef
153,1/2 cup,,water,Crispy Ginger Beef
154,2,,egg,Crispy Ginger Beef
155,1 pound,flank,beef steak,Crispy Ginger Beef
156,1/2 cup,,canola oil,Crispy Ginger Beef
157,1,large,carrot,Crispy Ginger Beef
158,1,green,bell pepper,Crispy Ginger Beef
159,1,red,bell pepper,Crispy Ginger Beef
160,3,chopped,scallion,Crispy Ginger Beef
161,1/4 cup,minced fresh,ginger,Crispy Ginger Beef
162,5 cloves,minced,garlic,Crispy Ginger Beef
163,1/2 cup,,sugar,Crispy Ginger Beef
164,1/4 cup,,rice vinegar,Crispy Ginger Beef
165,3 tablespoons,,soy sauce,Crispy Ginger Beef
166,1 tablespoon,,sesame oil,Crispy Ginger Beef
167,1 tablespoon or to taste,,red pepper flake,Crispy Ginger Beef
168,1 1/2 pounds,top,beef sirloin,Crispy Orange Beef
169,1/3 cup,,sugar,Crispy Orange Beef
170,1/3 cup,,rice vinegar,Crispy Orange Beef
171,2 tablespoons,frozen concentrate,orange juice,Crispy Orange Beef
172,1 teaspoon,,salt,Crispy Orange Beef
173,1 tablespoon,,soy sauce,Crispy Orange Beef
174,1 cup,long grain,rice,Crispy Orange Beef
175,2 cups,,water,Crispy Orange Beef
176,1/4 cup,,cornstarch,Crispy Orange Beef
177,2 teaspoons,zest only,orange,Crispy Orange Beef
178,3 tablespoons,grated fresh,ginger,Crispy Orange Beef
179,1 1/2 tablespoons,minced,garlic,Crispy Orange Beef
180,8 florets,lightly steamed or blanched,broccoli,Crispy Orange Beef
181,2 cups,for frying,canola oil,Crispy Orange Beef
182,1 (15 ounce) can,cooked into creamed corn,corn,Easy Chinese Corn Soup
183,1 (14.5 ounce) can,low sodium,chicken broth,Easy Chinese Corn Soup
184,1,beaten,egg,Easy Chinese Corn Soup
185,1 tablespoon,,cornstarch,Easy Chinese Corn Soup
186,2 tablespoons,,water,Easy Chinese Corn Soup
187,1 cup,,chicken broth,Egg Drop Soup (Better than Restaurant Quality!)
188,1/4 teaspoon,,soy sauce,Egg Drop Soup (Better than Restaurant Quality!)
189,1/4 teaspoon,,sesame oil,Egg Drop Soup (Better than Restaurant Quality!)
190,1 teaspoon,(optional),cornstarch,Egg Drop Soup (Better than Restaurant Quality!)
191,2 teaspoons,(optional),water,Egg Drop Soup (Better than Restaurant Quality!)
192,1,beaten,egg,Egg Drop Soup (Better than Restaurant Quality!)
193,1 drop,yellow,food colour,Egg Drop Soup (Better than Restaurant Quality!)
194,1 teaspoon,fresh chopped,chive,Egg Drop Soup (Better than Restaurant Quality!)
195,1/8 teaspoon,(optional),salt,Egg Drop Soup (Better than Restaurant Quality!)
196,1/2 teaspoon,dried,bell pepper,Egg Drop Soup (Better than Restaurant Quality!)
197,4 cups,,water,Egg Drop Soup I
198,4 cubes,,chicken broth,Egg Drop Soup I
199,2,,egg,Egg Drop Soup I
200,1 teaspoon,dried,parsley,Egg Drop Soup I
201,1 tablespoon,,onion powder,Egg Drop Soup I
202,1 tablespoon,,cornstarch,Egg Drop Soup I
203,2 (14.5 ounce) cans,,chicken broth,Egg Drop Soup II
204,1 tablespoon,,cornstarch,Egg Drop Soup II
205,1,lightly beaten,egg,Egg Drop Soup II
206,2 tablespoons,chopped,scallion,Egg Drop Soup II
207,3 tablespoons,,canola oil,Eggplant with Garlic Sauce
208,4,chinese,eggplant,Eggplant with Garlic Sauce
209,1 cup,,water,Eggplant with Garlic Sauce
210,1 tablespoon,crushed,red pepper flake,Eggplant with Garlic Sauce
211,3 tablespoons,,garlic powder,Eggplant with Garlic Sauce
212,5 teaspoons,,sugar,Eggplant with Garlic Sauce
213,1 teaspoon,,cornstarch,Eggplant with Garlic Sauce
214,2 tablespoons,light,soy sauce,Eggplant with Garlic Sauce
215,2 tablespoons,,oyster sauce,Eggplant with Garlic Sauce
216,2 cups,,brown rice,Flavorful Beef Stir-Fry
217,4 cups,,water,Flavorful Beef Stir-Fry
218,2 tablespoons,,cornstarch,Flavorful Beef Stir-Fry
219,2 teaspoons,,sugar,Flavorful Beef Stir-Fry
220,6 tablespoons,,soy sauce,Flavorful Beef Stir-Fry
221,1/4 cup,,white wine,Flavorful Beef Stir-Fry
222,1 tablespoon,miced fresh,ginger,Flavorful Beef Stir-Fry
223,1 pound,wound,beef steak,Flavorful Beef Stir-Fry
224,1 tablespoon,,vegetable oil,Flavorful Beef Stir-Fry
225,3 cups,florets,broccoli,Flavorful Beef Stir-Fry
226,2,thinly sliced,carrot,Flavorful Beef Stir-Fry
227,1 (6 ounce) package,pods only,peas,Flavorful Beef Stir-Fry
228,2 tablespoons,chopped,onion,Flavorful Beef Stir-Fry
229,1 (8 ounce) can,sliced,water chestnut,Flavorful Beef Stir-Fry
230,1 cup,chinese,cabbage,Flavorful Beef Stir-Fry
231,2 heads,large,bok choy,Flavorful Beef Stir-Fry
232,1 tablespoon,,vegetable oil,Flavorful Beef Stir-Fry
233,1 cup,,water,Honey Walnut Shrimp
234,2/3 cup,,sugar,Honey Walnut Shrimp
235,1/2 cup,,walnut,Honey Walnut Shrimp
236,4,made into eggwhite,egg,Honey Walnut Shrimp
237,2/3 cup,glutinous,rice flour,Honey Walnut Shrimp
238,1/4 cup,,mayonnaise,Honey Walnut Shrimp
239,1 pound,large,shrimp,Honey Walnut Shrimp
240,2 tablespoons,,honey,Honey Walnut Shrimp
241,1 tablespoon,canned sweetened,condensed milk,Honey Walnut Shrimp
242,1 cup,for frying,vegetable oil,Honey Walnut Shrimp
243,2,chinese,eggplant,Hot and Sour Chinese Eggplant
244,1 1/2 tablespoons,,soy sauce,Hot and Sour Chinese Eggplant
245,1 tablespoon,preferably red,wine vinegar,Hot and Sour Chinese Eggplant
246,1 tablespoon,,sugar,Hot and Sour Chinese Eggplant
247,1,green,chili pepper,Hot and Sour Chinese Eggplant
248,1 teaspoon,,cornstarch,Hot and Sour Chinese Eggplant
249,1/2 teaspoon or to taste,,chili oil,Hot and Sour Chinese Eggplant
250,2 teaspoons,,salt,Hot and Sour Chinese Eggplant
251,2 tablespoons,,vegetable oil,Hot and Sour Chinese Eggplant
252,3/4 pound,boneless tender,beef steak,Hot and Tangy Broccoli Beef
253,1 tablespoon,,cornstarch,Hot and Tangy Broccoli Beef
254,3 tablespoons,kikkoman preferably,soy sauce,Hot and Tangy Broccoli Beef
255,1 clove,large,garlic,Hot and Tangy Broccoli Beef
256,1/2 teaspoon,,sugar,Hot and Tangy Broccoli Beef
257,1 pound,fresh,broccoli,Hot and Tangy Broccoli Beef
258,4 teaspoons,,cornstarch,Hot and Tangy Broccoli Beef
