title,description,instructions,cuisine,dishtype,mark,images,timetocook,mealtype
Hot and Tangy Broccoli Beef,"""Tangy and spicy beef and broccoli are a winning combination in this quick stir-fry dinner.""","Cut beef across grain into thin slices. Combine 1 Tbsp. each cornstarch and soy sauce with garlic and sugar in medium bowl; stir in beef. Let stand 10 minutes.
                            
Meanwhile, remove flowerets from broccoli; cut into bite-size pieces. Peel stalks; cut diagonally into thin slices.
                            
Combine 1 cup water, remaining 2 Tbsp. soy sauce, 4 teaspoons cornstarch and crushed red pepper in small bowl. Set aside.
Heat 1 Tbsp. oil in hot wok or large skillet over high heat. Add beef and stir-fry 1 minute; remove.
                            
Heat remaining 2 Tbsp. oil in same pan. Add broccoli and onion; stir-fry 2 minutes. Sprinkle 1 Tbsp. water over vegetables; cover and cook 2 minutes, stirring occasionally.
                            
Add beef and soy sauce mixture; cook and stir until sauce boils and thickens. Remove from heat; stir in vinegar.",Chinese,Main Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/5181687.jpg,https://images.media-allrecipes.com/userphotos/125x70/5181687.jpg}",0:35:00,
Kikkoman Chinese Pepper Steak,"""Beef strips are stir-fried with onion and peppers in this quick stove-top meal. Serve with your favorite rice or noodles.""","Cut steak across grain into thin strips, then into 1-inch squares; coat with 1 Tbsp. hoisin sauce.
Heat 1 Tbsp. oil in hot wok or large skillet over high heat. Add beef and stir-fry about 1 minute; remove.
Heat remaining 1 Tbsp. oil in same pan. Add peppers and onions; stir-fry 5 minutes. Stir in beef and remaining 1/4 cup hoisin sauce; cook and stir just until beef and vegetables are coated with sauce. Serve immediately.",Chinese,Main Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/6293324.jpg,https://images.media-allrecipes.com/userphotos/125x70/6293324.jpg}",0:35:00,
Mongolian Beef and Spring Onions,"""A soy-based Chinese-style beef dish. Best served over soft rice noodles or rice.""","Prep12 m
Cook8 m
Ready In30 m
            
 Heat 2 teaspoons of vegetable oil in a saucepan over medium heat, and cook and stir the garlic and ginger until they release their fragrance, about 30 seconds. Pour in the soy sauce, water, and brown sugar. Raise the heat to medium-high, and stir 4 minutes, until the sugar has dissolved and the sauce boils and slightly thickens. Remove sauce from the heat, and set aside.
                            
  Place the sliced beef into a bowl, and stir the cornstarch into the beef, coating it thoroughly. Allow the beef and cornstarch to sit until most of the juices from the meat have been absorbed by the cornstarch, about 10 minutes.
Heat the vegetable oil in a deep-sided skillet or wok to 375 degrees F (190 degrees C).
                            
  Shake excess cornstarch from the beef slices, and drop them into the hot oil, a few at a time. Stir briefly, and fry until the edges become crisp and start to brown, about 2 minutes. Remove the beef from the oil with a large slotted spoon, and allow to drain on paper towels to remove excess oil.
  Pour the oil out of the skillet or wok, and return the pan to medium heat. Return the beef slices to the pan, stir briefly, and pour in the reserved sauce. Stir once or twice to combine, and add the green onions. Bring the mixture to a boil, and cook until the onions have softened and turned bright green, about 2 minutes.",Chinese,Side Dish,red,{https://images.media-allrecipes.com/userphotos/125x70/7317087.jpg},0:30:00,
Mongolian Beef I,"""A simple but spicy dish with beef, carrots and green onions. Serve over rice for a very filling meal.""","Prep35 m
Cook10 m
Ready In45 m
  In a dry skillet over medium heat, toast sesame seeds for 1 to2 minutes, or until the seeds begin to turn golden brown; set aside.
   In a medium bowl, mix together 1 tablespoon soy sauce, 1 tablespoon cornstarch, and minced garlic. Stir in beef strips. Let stand for at least 10 minutes.
  In a separate small bowl, mix together water, 2 tablespoons soy sauce, 2 1/2 teaspoons cornstarch, sugar, sesame seeds, and red pepper flakes; set aside.
  Heat 1 tablespoon of oil in a wok or skillet over high heat. Cook and stir beef in hot oil for 1 minute; remove, and set aside. Heat remaining tablespoon of oil in the same pan. Saute carrots and white part of green onions for 2 minutes. Stir in green parts of the green onion, and saute for 1 minute. Stir in sesame seed mixture and beef. Cook and stir until sauce boils and thickens.",Chinese,Side Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/6263299.jpg,https://images.media-allrecipes.com/userphotos/125x70/6263299.jpg}",0:45:00,
Mongolian Beef II,"""Savory strips of sirloin roast are soaked in a spicy marinade and sauteed with green onions. Serve over steamed rice or fried rice noodles.""","Prep20 m
Cook20 m
Ready In1 h
 Partially freeze the roast for easier slicing. Slice the roast into 3x1/2 inch strips, and set aside.
   In a large bowl, combine well the soy sauce, sherry, sesame oil, cornstarch, brown sugar, crushed red pepper and whole chili peppers. Place beef in the mixture and coat well. Cover and refrigerate for 20 to 30 minutes.
   Heat 2 tablespoons of the oil in a large skillet or wok over medium high heat. Place green onions in the hot oil. Cover, reduce heat to low and cook 6 minutes, or until tender. Remove green onions and set aside.
   In the same skillet or wok, heat remaining 1/4 cup of oil over medium high heat. Add beef mixture and saute for 5 minutes, or until the beef is thoroughly cooked. Return green onions to the pan and saute for 30 seconds more, or until heated through.",Chinese,Side Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/297149.jpg,https://images.media-allrecipes.com/userphotos/125x70/297149.jpg}",1:0:00,
Pan-Fried Chinese Pancakes,"""A delicious brunch snack that can be found in many Chinese breakfast shops.  Its various names include 'cong you bing,' 'jiu cai bing,', 'scallion pancakes,' 'green onion pancakes,' etc.  This particular recipe is passed down through my mother's family, and brings back many good, yummy memories! Can serve with hot-sour sauce, or your favorite Chinese sauce.""","Prep30 m
Cook40 m
Ready In1 h 10 m
   Dissolve salt in warm water, and mix in 1 cup of flour to make a soft dough. Turn the dough out onto a well-floured work surface, and knead until slightly springy, about 5 minutes. If the dough is sticky, knead in 1/4 teaspoon of vegetable oil. Divide the dough into 8 equal-size pieces, and keep the pieces covered with a cloth.
  In a bowl, mix 1/4 cup of flour with 1 tablespoon vegetable oil to make a mixture like fine crumbs.
    On a floured work surface, roll a piece of dough out into a thin square about 5x7 inches in size, brush the dough with toasted sesame oil, and sprinkle lightly with about 1 1/2 teaspoon of the flour-oil mixture. Sprinkle about 1 tablespoon of chopped green onion onto the dough, and spread the onion out evenly. Starting with a long end, roll the dough up into a rope shape, and pinch the seam and the ends closed. Roll the rope shape into a flat spiral, and press lightly with your hands to compact the spiral and keep it from unrolling.
    Place the spiral down onto the floured work surface, and gently roll it out into a pancake with the onions folded inside, turning the pancake over often as you roll it out. Roll gently and turn often to avoid making holes in the pancakes. Finished pancakes should be about 5 inches in diameter. Repeat with the rest of the dough pieces, making 8 onion pancakes.
     Heat a non-stick skillet over medium heat, and brush with vegetable oil. Pan-fry each pancake in the hot skillet until golden brown on both sides, about 5 minutes per side. Cut into wedges and serve warm.",Chinese,Bread Recipes,green,"{https://images.media-allrecipes.com/userphotos/250x250/401958.jpg,https://images.media-allrecipes.com/userphotos/125x70/401958.jpg}",1:10:00,
Peking Duck,"""I have made this recipe and it is delicious. It can be served with plum sauce as well as a fruit sauce. This is actually a short-cut version but it is fantastic.""","Prep15 m
Cook1 h 35 m
Ready In3 h 50 m
   Rinse the duck inside and out, and pat dry. Cut off tail and discard. In a small bowl, mix together the cinnamon, ginger, nutmeg, white pepper and cloves. Sprinkle one teaspoon of the mixture into the cavity of the duck. Stir one tablespoon of the soy sauce into the remaining spice mixture and rub evenly over the entire outside of the bird. Cut one of the green onions in half and tuck inside the cavity. Cover and refrigerate the bird for at least 2 hours, or overnight.
    Place duck breast side up on a rack in a big enough wok or pot and steam for an hour adding a little more water, if necessary, as it evaporates. Lift duck with two large spoons, and drain juices and green onion.
     Preheat the oven to 375 degrees F (190 degrees C). Place duck breast side up in a roasting pan and prick skin all over using a fork.
      Roast for 30 minutes in the preheated oven. While the duck is roasting, mix together the remaining 2 tablespoons of soy sauce and honey. After 30 minutes, brush the honey mixture onto the duck and return it to the oven. Turn the heat up to 500 degrees F (260 degrees C). Roast for 5 minutes, or until the skin is richly browned. Do not allow the skin to char.
      Prepare the duck sauce by mixing the plum jam with the sugar, vinegar and chutney in a small serving bowl. Chop remaining green onions and place them into a separate bowl. Place whole duck onto a serving platter and garnish with orange slices and fresh parsley. Use plum sauce and onions for dipping.",Chinese,Main Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/662217.jpg,https://images.media-allrecipes.com/userphotos/125x70/662217.jpg}",3:50:00,
Pineapple Fried Rice II,"""Exotic flavors blend together to create this crowd-pleasing favorite. Contains pineapple, ham, peas, green onion and eggs.""","Prep15 m
Cook30 m
Ready In1 h 5 m
   Bring the rice and water to a boil in a saucepan over high heat. Reduce heat to medium-low, cover, and simmer until the rice is tender, and the liquid has been absorbed, 20 to 25 minutes. Spread cooked rice out on a rimmed baking sheet and refrigerate until cooled, about 20 minutes.
    Heat sesame oil in a large skillet or wok over medium-high heat.  Cook and stir the green onions, ham, and peas in the hot oil until onions have softened, about 2 minutes. Stir the pineapple chunks into the wok; cook until pineapple begins to darken, about 2 minute.  Push ingredients to the side of the wok, and pour beaten egg in the center. Cook until egg begins to set, about 30 seconds. Stir together all contents of the wok.
    Mix the cooled rice, sugar, salt, white pepper, and garlic powder into the wok; stir constantly to keep from sticking. Cook until heated through, about 3 minutes. Sprinkle the rice with the soy sauce, and stir to combine.",Chinese,Main Dish,red,"{https://images.media-allrecipes.com/userphotos/250x250/384934.jpg,https://images.media-allrecipes.com/userphotos/125x70/384934.jpg}",1:5:00,
Potstickers (Chinese Dumplings),"""An authentic potsticker recipe using ground beef and ground shrimp instead of the usual pork filling. You can fill the whole package of gyoza wrappers and have filling left over for next time around.""","Prep50 m
Cook12 m
Ready In1 h 2 m
     Place the shrimp in the work bowl of a food processor, and process until the shrimp are finely ground. Set aside in a large bowl. Working in batches, process the ground beef to a fine grind, and set aside with the shrimp. Combine the shrimp and ground beef with ginger, shallot, green onions, napa cabbage, soy sauce, sesame oil, salt and pepper, and white sugar, and mix the ingredients until thoroughly combined.
      To fill the pot stickers, place a wrapper on a work surface in front of you, and place a scant teaspoon of filling in the center. With a wet finger, dampen the edges of the wrapper. Fold the dough into a half-moon shape, enclosing the filling, and press and seal to remove extra air and tightly seal the edges together. It's nice to fold several small pleats in the top half of the wrapper for a traditional look before you seal in the filling. Refrigerate the filled wrappers on a parchment-lined baking sheet while you finish filling and sealing the pot stickers.
      Heat the oil in a large nonstick skillet with a lid over medium heat. Place pot stickers into the hot oil, flat sides down, without crowding, and let fry until the bottoms are golden brown, 1 to 2 minutes. Turn the dumplings over, and pour the water over them. Cover the pan with a lid and let the dumplings steam until the water has nearly evaporated and the dumplings have begun to fry in oil again, 5 to 7 minutes. Uncover the skillet, and let the pot stickers cook until all the water is evaporated and the wrapper has shrunk down tightly onto the filling, another 2 to 3 minutes.",Chinese,Main Dish,red,{https://images.media-allrecipes.com/userphotos/125x70/692888.jpg},1:2:00,
Quick Beef Stir-Fry,"""Quick and easy. I make this on my busiest weeknights.""","Prep15 m
Cook10 m
Ready In25 m
   Heat vegetable oil in a large wok or skillet over medium-high heat; cook and stir beef until browned, 3 to 4 minutes. Move beef to the side of the wok and add broccoli, bell pepper, carrots, green onion, and garlic to the center of the wok. Cook and stir vegetables for 2 minutes.
      Stir beef into vegetables and season with soy sauce and sesame seeds. Continue to cook and stir until vegetables are tender, about 2 more minutes.",Chinese,Main Dish,red,{https://images.media-allrecipes.com/userphotos/125x70/6263320.jpg},0:25:00,
Quick Chinese-Style Vermicelli (Rice Noodles),"""Quick and delicious Chinese-style rice noodles.""","Prep15 m
Cook3 m
Ready In18 m
     Bring a large pot of water to a boil. Add rice noodles, and cook for 2 to 3 minutes or until al dente; do not overcook, or they will become mushy. Drain.
     Heat oil in a large skillet over medium heat. Saute garlic until tender. Stir in noodles, and season with soy sauce, chili sauce, salt and pepper. Sprinkle top with chopped green onion.",Chinese,Side Dish,green,"{https://images.media-allrecipes.com/userphotos/250x250/491687.jpg,https://images.media-allrecipes.com/userphotos/125x70/491687.jpg}",0:18:00,
Restaurant Style Egg Drop Soup,"""This Egg Drop soup is born from a love of the soup and MANY trips to my favorite Chinese restaurant (asking them many questions) resulting in this variation. Compare it to your local restaurant...The simplicity is the key. Soup can be re-heated or frozen and re-heated.""","Prep10 m
Cook10 m
Ready In20 m
     Reserve 3/4 cup of chicken broth, and pour the rest into a large saucepan. Stir the salt, ginger and chives into the saucepan, and bring to a rolling boil. In a cup or small bowl, stir together the remaining broth and cornstarch until smooth. Set aside.
     In a small bowl, whisk the eggs and egg yolk together using a fork. Drizzle egg a little at a time from the fork into the boiling broth mixture. Egg should cook immediately. Once the eggs have been dropped, stir in the cornstarch mixture gradually until the soup is the desired consistency.",Chinese,"Soups, Stews, and Chili",red,{https://images.media-allrecipes.com/userphotos/125x70/4486830.jpg},0:20:00,
Slow Cooker Mongolian Beef,"""I got this recipe from a friend and it is wonderful.  My kids love it.  It tastes like you got it at a Chinese restaurant and the slow cooker does most of the work! Serve over steamed rice.""","Prep10 m
Cook4 h 10 m
Ready In4 h 30 m
    Place flank steak and cornstarch into a resealable plastic bag. Shake the bag to evenly coat the flank steak with the cornstarch. Allow to steak rest for 10 minutes.
     Heat olive oil in a large skillet over medium-high heat. Cook and stir steak until evenly browned, 2 to 4 minutes. Place onion, garlic, flank steak, green onions, soy sauce, water, brown sugar, ginger, and hoisin sauce in a slow cooker. Cook on Low setting for about 4 hours.",Chinese,Main Dish,red,"{https://images.media-allrecipes.com/userphotos/250x250/374059.jpg,https://images.media-allrecipes.com/userphotos/125x70/374059.jpg}",4:30:00,
Spicy Crispy Beef,"""I've never found a recipe for crispy ginger beef like the ones in the restaurants. I have experimented, and found something pretty close. Serve with rice and some steamed veggies.""","Prep20 m
Cook20 m
Ready In45 m
            
    
    Heat oil in deep-fryer to 375 degrees F (190 degrees C).
  Meanwhile, in a mixing bowl, combine cornstarch, salt and pepper together. Mix thoroughly. Toss the steak slices in the cornstarch mixture and coat well.
   Deep fry the coated steak slices until golden brown. Check to make sure they are cooked through. Remove from oil, and set aside.
    In another mixing bowl, combine the soy sauce, rice vinegar, rice wine and honey. Add sugar, chili paste, water, and ginger. Mix well and set aside.
                            
    Heat a wok or deep frying pan over medium high heat. Add 1 tablespoon of oil, and quickly saute the onion, garlic and red pepper for 30 seconds. Add the sauce mixture, and cook another 30 seconds. Finally, add the strips of fried steak and toss to heat through and coat with sauce.",Chinese,Side Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/2621678.jpg,https://images.media-allrecipes.com/userphotos/125x70/2621678.jpg}",0:45:00,
Spicy Orange Zest Beef,"""This spicy orange zest beef recipe is not supposed to be Chinese food, or even Americanized Chinese take-out food. It is a lower-fat alternative while still a quick, easy, and surprisingly flavorful meal.""","Prep20 m
Cook5 m
Ready In2 h
      Combine beef, orange juice, rice vinegar, soy sauce, hot chili paste, brown sugar, and garlic in a large bowl. Cover and refrigerate for 1 to 2 hours.
    Strain beef in a colander set over a large bowl, allowing beef to drain thoroughly, about 5 minutes. Reserve marinade.
 Stir water and cornstarch into the bowl of marinade. Whisk until cornstarch is dissolved, set aside.
  Spray skillet with cooking spray and place over high heat. Cook beef for 1 minute without stirring; cook and stir for an additional minute.
  Stir in light parts of green onion and orange zest; cook for 30 seconds.
  Stir in marinade and green onion tops; cook and stir until beef is no longer pink inside and sauce is reduced and thick, about 2 to 3 minutes.
  Season with salt and black pepper to taste.",Chinese,Main Dish,red,{https://images.media-allrecipes.com/userphotos/125x70/5670410.jpg},2:0:00,
Steamed Fish with Ginger,"""If you like fish or even anything about Chinese food you'll love this recipe.""","Prep15 m
Cook10 m
Ready In25 m
  Pat halibut dry with paper towels.  Rub both sides of fillet with salt. Scatter the ginger over the top of the fish and place onto a heatproof ceramic dish.
  Place into a bamboo steamer set over several inches of gently boiling water, and cover. Gently steam for 10 to 12 minutes.
  Pour accumulated water out of the dish and sprinkle the fillet with green onion.  Drizzle both soy sauces over the surface of the fish.
  Heat peanut and sesame oils in a small skillet over medium-high heat until they begin to smoke. When the oil is hot, carefully pour on top of the halibut fillet. The very hot oil will cause the green onions and water on top of the fish to pop and spatter all over; be careful. Garnish with cilantro sprigs and serve immediately.",Chinese,Main Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/1257557.jpg,https://images.media-allrecipes.com/userphotos/125x70/1257557.jpg}",0:25:00,
"Super-Simple, Super-Spicy Mongolian Beef","""This is a great-tasting recipe that is easy to prepare ahead and takes minutes to actually cook it! Serve with rice and veggie side for a nice family dinner!""","Prep15 m
Cook6 m
Ready In1 h 21 m
    Whisk together soy sauce, hoisin sauce, sesame oil, sugar, garlic, and red pepper flakes in a bowl. Toss beef with marinade, cover, and refrigerate 1 hour to overnight.
   Heat peanut oil in a wok or large, nonstick skillet over high heat. Add the green onions, and cook for 5 to 10 seconds before stirring in the beef. Cook and stir until the beef is no longer pink and is beginning to brown, about 5 minutes.",Chinese,Main Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/385999.jpg,https://images.media-allrecipes.com/userphotos/125x70/385999.jpg}",1:21:00,
Sweet and Sour Pork Tenderloin,"""I thoroughly enjoyed this plate of florescent food, and if you're a fan of the Chinese take-out version, I believe you will enjoy this too.""","Prep20 m
Cook35 m
Ready In55 m
   Cut tenderloin into 4 pieces. Arrange in a single layer between two sheets of plastic wrap and pound with a meat mallet until each is about 1-inch thick. Generously season with salt and black pepper.
     Whisk ketchup, rice vinegar, reserved pineapple juice, brown sugar, garlic, hot chili sauce, soy sauce, and red pepper flakes in a bowl. Set aside.
   Heat vegetable oil in a skillet over high heat. Place pork in pan; reduce heat to medium. Cook until browned on both sides and cooked through, 5 to 6 minutes per side. Transfer to a plate.
   Return skillet to medium heat. Stir butter into hot pan. When butter melts and starts to brown, stir in pineapple chunks. Cook, stirring, until pineapple is golden brown, 3 to 4 minutes.
 Stir in ketchup mixture and 1/4 cup green onion (white parts). Reduce heat to low and simmer until garlic and onion have softened, 5 minutes.
  Return pork to skillet; cook, stirring, until pork is heated through. Garnish with 2 tablespoons green onion tops.",Chinese,Main Dish,red,{https://images.media-allrecipes.com/userphotos/125x70/963795.jpg},0:55:00,
Szechuan Beef,"""It is spicy! Serve with rice.""","Prep10 m
Cook10 m
Ready In40 m
  Toss beef with soy sauce, cornstarch, crushed red pepper and garlic in non-metal bowl.  Cover and refrigerate 20 minutes.
   Heat oil in wok or large skillet over high heat.  Stir fry beef until no longer pink, 5 minutes.  Stir in broccoli, onions and water chestnuts; cook 2 minutes.  Pour in broth, and bring to a boil.  Stir in peanuts, cook one minute more, and serve.",Chinese,Main Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/303105.jpg,https://images.media-allrecipes.com/userphotos/125x70/303105.jpg}",0:40:00,
Szechwan Shrimp,"""Don't let some of the ingredients fool you--this spicy shrimp makes a simple, impressive dish, which I usually make for company. For more or less heat, adjust amount of red pepper. Serve over hot steamed rice.""","Prep10 m
Cook10 m
Ready In20 m
   In a bowl, stir together water, ketchup, soy sauce, cornstarch, honey, crushed red pepper, and ground ginger. Set aside.
 Heat oil in a large skillet over medium-high heat. Stir in green onions and garlic; cook 30 seconds. Stir in shrimp, and toss to coat with oil. Stir in sauce. Cook and stir until sauce is bubbly and thickened.",Chinese,Main Dish,red,{https://images.media-allrecipes.com/userphotos/125x70/1052895.jpg},0:20:00,
Vegetable Lo Mein,"""A great accompaniment to any Asian meal. Try adding 3/4 pound cooked meat for variety.""","Prep10 m
Cook25 m
Ready In35 m
 Bring a large pot of lightly salted water to a boil. Add pasta and cook for 8 to 10 minutes or until al dente; drain.
  Heat oil in a large wok or saute pan. Stir fry mushrooms, carrots, peppers, onion and garlic until tender. Stir in bean sprouts and green onions; cook one minute. Mix cornstarch and chicken broth in a small bowl and add to stir fry. Stir in hoisin sauce, honey, soy sauce, ginger, cayenne pepper and curry powder. Cook and stir until thickened and bubbly.
   Add cooked spaghetti, and toss. Serve immediately.",Chinese,Side Dish,red,"{https://images.media-allrecipes.com/userphotos/560x315/43208.jpg,https://images.media-allrecipes.com/userphotos/125x70/43208.jpg}",0:35:00,
Besan (Gram Flour) Halwa,"""If you like the flavour of besan (chickpea flour) in sweets, you will love this halwa. I often make this halwa instead of 'Besan Ladoo' or 'Mysore Pak.' My kids gobble it up even before it has a chance to cool down.""","Prep5 m
Cook30 m
Ready In35 m
Bring the milk and water to a simmer in a saucepan over medium-low heat; stir the cardamom into the mixture. Set aside.
Melt the ghee in a shallow skillet over medium heat; stir the chickpea flour into the melted ghee and cook until fragrant, about 10 minutes. Add the sugar and stir to incorporate. Slowly pour the milk mixture into the skillet while stirring to avoid lumps. Continue cooking and stirring until the halwa pulls away from the sides of the pan, 10 to 15 minutes. Serve hot or spread the mixture into a rimmed plate and allow to cool. Cut into squares and serve.",Indian,,green,{https://images.media-allrecipes.com/userphotos/600x600/3934184.jpg},0:35:00,Desserts
Kulfi,"""This is a simple but delicious recipe for Kulfi (Indian Ice Cream) that I got from my sister-in-law. I have made this several times, and it always gets rave reviews - even the kids love it! For extra flavor, you could add a few drops of rose water or ground pistachios.""","Prep20 m
Ready In8 h 20 m
Combine evaporated milk, condensed milk and whipped topping in a blender and blend in pieces of bread until smooth.
Pour mixture into a 9x13 inch baking dish or two plastic ice cube trays, sprinkle with cardamom and freeze for 8 hours or overnight.",Indian,,green,{https://images.media-allrecipes.com/userphotos/720x405/736349.jpg},8:20:00,Desserts
Shahi Tukra (Indian Bread Pudding),"""This is a very famous Hyderabadi dish and is a very simple, but rich dessert. It is great for a large dinner party as the recipe can be easily multiplied to make more. It is best eaten chilled. If available, you can add a few drops of Kewra essence to the milk mixture once it has cooled.""","Prep10 m
Cook45 m
Ready In2 h 55 m
Heat oil in a deep-fryer or large saucepan to 350 degrees F (175 degrees C). Fry the bread slices in the hot oil until deep, golden brown; drain on a plate lined with paper towels. Fry the cashews, almonds, and pistachio nuts in the hot oil until golden brown; remove from oil and set aside to cool. Chop roughly.
Bring the milk to a gentle boil in a heavy-bottomed pan over medium-low heat; continue boiling until the volume of milk reduces by about half. Pour the evaporated milk into the pan and add the sugar, cardamom, and saffron; simmer together 5 to 10 minutes. Remove from heat and allow to cool completely.
Arrange the fried bread pieces in a shallow dish large enough to allow them to be laid in a single layer. Evenly pour the milk mixture over the bread. Scatter the chopped nuts over the bread. Chill in refrigerator until completely cold, 1 to 2 hours.",Indian,,green,{https://images.media-allrecipes.com/userphotos/560x315/2311160.jpg},2:55:00,Desserts
Besan Laddu,"""A delicious Indian sweet, commonly gifted during celebrations like Diwali. I got this recipe from my neighbor when I lived in India. She always brought me sweets that she made herself.""","Prep5 m
Cook10 m
Ready In45 m
Stir the chickpea flour and clarified butter together in a saucepan over medium-low heat until the mixture smells toasty, about 10 minutes. Set aside until cool enough to handle.
Stir in the sugar, pistachios, and cashews until evenly mixed. Form the mixture into small balls the size of large cherries. Use some pressure when forming the balls so they don't come apart.",Indian,,green,{https://images.media-allrecipes.com/userphotos/560x315/4450789.jpg},0:45:00,Desserts
